year,district,constituency,link
1952,COOCHBEHAR,COOCHBEHAR,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/COOCHBEHAR/COOCHBEHAR/1952---COOCHBEHAR-(1134).pdf
1952,COOCHBEHAR,DINHATA,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/COOCHBEHAR/DINHATA/1952---DINHATA-(1378)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/COOCHBEHAR/DINHATA/1952---DINHATA-(1378)-PART-2.pdf"
1952,COOCHBEHAR,MATHABHANGA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/COOCHBEHAR/MATHABHANGA/1952---MATHABHANGA-(981).pdf
1952,COOCHBEHAR,MEKHLIGANJ,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/COOCHBEHAR/MEKHLIGANJ/1952---MEKHLIGANJ-(773).pdf
1952,DARJEELING,DARJEELING,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/DARJEELING/1952---DARJEELING-(1504)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/DARJEELING/1952---DARJEELING-(1504)-PART-2.pdf"
1952,DARJEELING,JOREBUNGLOW,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/JOREBUNGLOW/1952---JOREBUNGLOW-(757).pdf
1952,DARJEELING,KURSEONG SILIGURI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/KURSEONG-SILIGURI/1952---KURSEONG-SILIGURI-(1238).pdf
1952,HOOGHLY,ARAMBAGH,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/ARAMBAGH/1952---ARAMBAGH-(%202057)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/ARAMBAGH/1952---ARAMBAGH-(%202057)-PART-2.pdf"
1952,HOOGHLY,BALAGARH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/BALAGARH/1952---BALAGARH-(1076).pdf
1952,HOOGHLY,BHADRESWAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/BHADRESWAR/1952---BHADRESWAR-(646).pdf
1952,HOOGHLY,CHINSURAH,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/CHINSURAH/1952---CHINSURAH-(1999)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/CHINSURAH/1952---CHINSURAH-(1999)-PART-2.pdf"
1952,HOOGHLY,DHANIAKHALI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/DHANIAKHALI/1952---DHANIAKHALI-(%202094)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/DHANIAKHALI/1952---DHANIAKHALI-(%202094)-PART-2.pdf"
1952,HOOGHLY,GOGHAT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/GOGHAT/1952---GOGHAT-(1064).pdf
1952,HOOGHLY,HOOGHLY LOKSABHA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOKSABHA/1952---HOOGHLY%20LOKSABHA%20PARLAMENT%203RD%20PART-(1813)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOKSABHA/1952---HOOGHLY%20LOKSABHA%20PARLAMENT%203RD%20PART-(1813)-PART-2.pdf"
1952,HOOGHLY,HOOGHLY LOSABHA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOSABHA/1952---HOOGHLY%20LOSABHA%20PARLAMENT%201ST%20PART-(3048)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOSABHA/1952---HOOGHLY%20LOSABHA%20PARLAMENT%201ST%20PART-(3048)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOSABHA/1952---HOOGHLY%20LOSABHA%20PARLAMENT%201ST%20PART-(3048)-PART-3.pdf"
1952,HOOGHLY,SINGOOR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/SINGOOR/1952---SINGOOR-(%201834)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/SINGOOR/1952---SINGOOR-(%201834)-PART-2.pdf"
1952,HOOGHLY,TARAKESWAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/TARAKESWAR/1952---TARAKESWAR-(986).pdf
1952,HOOGHLY,UTTARPARA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/UTTARPARA/1952---UTTARPARA-(757).pdf
1952,HOWRAH,AMTA CENTRAL,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/AMTA%20CENTRAL/1952---AMTA%20CENTRAL%20-(846).pdf
1952,HOWRAH,AMTA NORTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/AMTA%20NORTH/1952---AMTA%20NORTH%20-(812).pdf
1952,HOWRAH,AMTA SOUTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/AMTA%20SOUTH/1952---AMTA%20SOUTH%20-(707).pdf
1952,HOWRAH,BALLY,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/BALLY/1952---BALLY%20-(765).pdf
1952,HOWRAH,DOMJUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/DOMJUR/1952---DOMJUR%20-(666).pdf
1952,HOWRAH,HOWRAH EAST,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/HOWRAH%20EAST/1952---HOWRAH%20EAST%20%20-(756).pdf
1952,HOWRAH,HOWRAH NORTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/HOWRAH%20NORTH/1952---HOWRAH%20NORTH%20-(720).pdf
1952,HOWRAH,HOWRAH SOUTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/HOWRAH%20SOUTH/1952---HOWRAH%20SOUTH%20-(935).pdf
1952,HOWRAH,HOWRAH WEST,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/HOWRAH%20WEST/1952---HOWRAH%20WEST%20-(898).pdf
1952,HOWRAH,JAGATBALLAVPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/JAGATBALLAVPUR/1952---JAGATBALLAVPUR%20-(747).pdf
