year,district,constituency,link,new_links
1966,CALCUTTA,BELIAGHATA NORTH,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BELIAGHATA%20NORTH/1966--BELIAGHATA%20NORTH%20A.C%20(CALCUTTA)-(1252)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BELIAGHATA%20NORTH/1966--BELIAGHATA%20NORTH%20A.C%20(CALCUTTA)-(1252)-PART-2.pdf","https://drive.google.com/file/d/1BdnyqGm0iJKO4dmlGULa1zPEBfEB2T5j/view?usp=sharing, https://drive.google.com/file/d/167RSUOGvgcMKc-XdQ1q0RzekBypDYwTD/view?usp=sharing"
1966,CALCUTTA,BELIAGHATA SOUTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BELIAGHATA%20SOUTH/1966--BELIAGHATA%20SOUTH%20(CALCUTTA)-(697).pdf,https://drive.google.com/file/d/1IIF3T8zZiQELPbCA6ow9bWf5qICMhWSK/view?usp=sharing
1966,CALCUTTA,BOWBAZAR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BOWBAZAR/1966--BOWBAZAR%20(CALCUTTA)-(1302)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BOWBAZAR/1966--BOWBAZAR%20(CALCUTTA)-(1302)-PART-2.pdf","https://drive.google.com/file/d/1eI4pZngA2jA-F4Cxtaqndo6ty7wrYWMu/view?usp=sharing, https://drive.google.com/file/d/1LJcnj6526etrDls6FJ1MSKG8G2QpGuzt/view?usp=sharing"
1966,CALCUTTA,CHOWRAINGEE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/CHOWRAINGEE/1966--134-CHOWRAINGEE%20%20(CALCUTTA)-(1125)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/CHOWRAINGEE/1966--134-CHOWRAINGEE%20%20(CALCUTTA)-(1125)-PART-2.pdf","https://drive.google.com/file/d/1lQldUOC8ttgAwLWbawXYC3QvabO2OU3W/view?usp=sharing, https://drive.google.com/file/d/1cG8QXpQhCPihGCa5O06aFc2UslmClh9_/view?usp=sharing"
1966,CALCUTTA,COSSIPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/COSSIPUR/1966--128-COSSIPUR%20A.C%20(CALCUTTA)-(1189)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/COSSIPUR/1966--128-COSSIPUR%20A.C%20(CALCUTTA)-(1189)-PART-2.pdf","https://drive.google.com/file/d/14mhNQ1SBjGIjxLjHJlLNp8Pbg4eEfVnX/view?usp=sharing, https://drive.google.com/file/d/1PDEchwAqE7UhujasZKuAUTyNC_8e_kb-/view?usp=sharing"
1966,CALCUTTA,JORABAGAN,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/JORABAGAN/1966--130-JORABAGAN%20(CALCUTTA)-(1639)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/JORABAGAN/1966--130-JORABAGAN%20(CALCUTTA)-(1639)-PART-2.pdf","https://drive.google.com/file/d/1wqTZqV9P0HeBFW1lh7BBVdjJyiOchC__/view?usp=sharing, https://drive.google.com/file/d/1XVNwk2Zp59LIx0pOA4hbQ21bD2snH-uU/view?usp=sharing"
1966,CALCUTTA,JORASANKO,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/JORASANKO/1966--131-JORASANKO%20(CALCUTTA)-(1306)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/JORASANKO/1966--131-JORASANKO%20(CALCUTTA)-(1306)-PART-2.pdf","https://drive.google.com/file/d/1wGezW1_DVZzC-gkfqpc1ZlGApz1kve0K/view?usp=sharing, https://drive.google.com/file/d/1fxahn8otFvdYhSjIGB4dvu6BMDK-AOaH/view?usp=sharing"
1966,CALCUTTA,KABITIRTHA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/KABITIRTHA/1966--35-KABITIRTHA%20(CALCUTTA)-(917).pdf,https://drive.google.com/file/d/1AD8JpmMBPRKBayXUwYjzdjREnf3nAoQV/view?usp=sharing
1966,CALCUTTA,RASHBIHARI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/RASHBIHARI/1966--138-RASHBIHARI%20(CALCUTTA)-(1466)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/RASHBIHARI/1966--138-RASHBIHARI%20(CALCUTTA)-(1466)-PART-2.pdf","https://drive.google.com/file/d/1UgAH1hWe0nXzyr6zVx9L_N7pWda_D0FU/view?usp=sharing, https://drive.google.com/file/d/117sMRgYkAYG4sjhdouzgfqciyG5AphwZ/view?usp=sharing"
1966,CALCUTTA,SEALDAHA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/SEALDAHA/1966--145-SEALDAHA%20(CALCUTTA)-(1220)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/SEALDAHA/1966--145-SEALDAHA%20(CALCUTTA)-(1220)-PART-2.pdf","https://drive.google.com/file/d/1VV3q8KE6Tk-DyLD5XDL0fhCyf_mUxoWd/view?usp=sharing, https://drive.google.com/file/d/19zcsejFOEYfyPDbenqd1JP7cXG2RXIF3/view?usp=sharing"
