year,district,constituency,link,new_links
1952,CALCUTTA,WATGUNGE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/WATGUNGE/1952--183-WATGUNGE%20A.C-(800).pdf,https://drive.google.com/file/d/1RANFOMxdxLW4JJv4EU46Jp4wCqBFYCUE/view?usp=sharing
1952,COOCHBEHAR,COOCHBEHAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/COOCHBEHAR/COOCHBEHAR/1952---COOCHBEHAR-(1134).pdf,https://drive.google.com/file/d/138QjNDn-y01zYfsTqJ41chMhy3pA6lqb/view?usp=sharing
1952,COOCHBEHAR,DINHATA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/COOCHBEHAR/DINHATA/1952---DINHATA-(1378)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/COOCHBEHAR/DINHATA/1952---DINHATA-(1378)-PART-2.pdf","https://drive.google.com/file/d/1MCbewYi86QdBMStuWsZV2g00nZR_tEQV/view?usp=sharing, https://drive.google.com/file/d/1rSAOHoGZezeLl4Ngo-rovlxBJJSVvjgo/view?usp=sharing"
1952,COOCHBEHAR,MATHABHANGA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/COOCHBEHAR/MATHABHANGA/1952---MATHABHANGA-(981).pdf,https://drive.google.com/file/d/1K3JLbkXJxF7MywBJ7xx3xiWeSFKtnx-b/view?usp=sharing
1952,COOCHBEHAR,MEKHLIGANJ,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/COOCHBEHAR/MEKHLIGANJ/1952---MEKHLIGANJ-(773).pdf,https://drive.google.com/file/d/1TMfHYTIZep0ThVtOKWBzIldzelA_Emap/view?usp=sharing
1952,DARJEELING,DARJEELING,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/DARJEELING/1952---DARJEELING-(1504)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/DARJEELING/1952---DARJEELING-(1504)-PART-2.pdf","https://drive.google.com/file/d/1FRaZlpBpUFfK8GaK8fO8XjO34ODtEAAk/view?usp=sharing, https://drive.google.com/file/d/1zpkOtk8mA3DwP5PDxa06RtB2rP_8zMb0/view?usp=sharing"
1952,DARJEELING,JOREBUNGLOW,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/JOREBUNGLOW/1952---JOREBUNGLOW-(757).pdf,https://drive.google.com/file/d/1UBIP50bqIVAmY8JL09M5eu0KWDTrdx61/view?usp=sharing
1952,DARJEELING,KURSEONG SILIGURI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/DARJEELING/KURSEONG-SILIGURI/1952---KURSEONG-SILIGURI-(1238).pdf,https://drive.google.com/file/d/18dfMQvDADI8UBGJQ35ZqI6LerjxYP_-L/view?usp=sharing
1952,HOOGHLY,ARAMBAGH,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/ARAMBAGH/1952---ARAMBAGH-(%202057)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/ARAMBAGH/1952---ARAMBAGH-(%202057)-PART-2.pdf","https://drive.google.com/file/d/1ETMkrq2S_hsAJm-gwY5-qgGAb4_ga-O2/view?usp=sharing, https://drive.google.com/file/d/1BR-Je9BOOC4jt5N79aA0Be4r9siF_hqh/view?usp=sharing"
1952,HOOGHLY,BALAGARH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/BALAGARH/1952---BALAGARH-(1076).pdf,https://drive.google.com/file/d/1egeFoMN9jbkMxW8a_4SX4-1C313tfExg/view?usp=sharing
1952,HOOGHLY,BHADRESWAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/BHADRESWAR/1952---BHADRESWAR-(646).pdf,https://drive.google.com/file/d/1tlRS-hQvsbul6vF1w6IJGgSuGnKGA1Y4/view?usp=sharing
1952,HOOGHLY,CHINSURAH,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/CHINSURAH/1952---CHINSURAH-(1999)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/CHINSURAH/1952---CHINSURAH-(1999)-PART-2.pdf","https://drive.google.com/file/d/1Xq7uvKHKrd0lI0dia82EjGyBB0vX1qPK/view?usp=sharing, https://drive.google.com/file/d/1HBICDZHjuGmzKU5oRcHks9kUoAfQXYAB/view?usp=sharing"
1952,HOOGHLY,DHANIAKHALI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/DHANIAKHALI/1952---DHANIAKHALI-(%202094)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/DHANIAKHALI/1952---DHANIAKHALI-(%202094)-PART-2.pdf","https://drive.google.com/file/d/1yyJpkbtv3-7BT8mkVvMoispvqULwRX32/view?usp=sharing, https://drive.google.com/file/d/1_CrgBETWUHtzj9ydnJ-KQhEQZRDTMX5R/view?usp=sharing"
1952,HOOGHLY,GOGHAT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/GOGHAT/1952---GOGHAT-(1064).pdf,https://drive.google.com/file/d/1_o9M5Xt4FP9PL4nhxBBjjjFoe90y5QEV/view?usp=sharing
1952,HOOGHLY,HOOGHLY LOKSABHA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOKSABHA/1952---HOOGHLY%20LOKSABHA%20PARLAMENT%203RD%20PART-(1813)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOOGHLY/HOOGHLY%20LOKSABHA/1952---HOOGHLY%20LOKSABHA%20PARLAMENT%203RD%20PART-(1813)-PART-2.pdf","https://drive.google.com/file/d/1e1eqUo-PYF6Fmt4Ot94MQjtTLiPacRat/view?usp=sharing, https://drive.google.com/file/d/19RZh_hStUS1BGe40yheuqSdIJcQ0gI_a/view?usp=sharing"
